0, jpn, 28.2, 34
1, cic, 58.6, 108
2, cbs, 67.2, 98
3, cpp, 67.2, 98
4, mcd, 96.8, 216
5, aym, 98.7, 127
6, qud1, 99.5, 103
7, ako, 101.9, 37
8, nel, 102.4, 100
9, mlo1, 105.3, 99
10, kqn, 106.5, 92
11, kde, 107.2, 111
12, nyn1, 107.8, 123
13, esg, 109.5, 124
14, zuu, 110.7, 95
15, not, 116.1, 177
16, xos, 117.7, 99
17, quz, 118, 116
18, dyo, 118.9, 103
19, cbt, 119, 249
20, qar, 119.1, 133
21, qnt, 120.9, 190
22, gun, 121.4, 132
23, yad, 121.5, 157
24, gua, 122.1, 95
25, vmw, 122.2, 98
26, btb, 122.3, 108
27, lue, 124.8, 99
28, cjk, 128.4, 93
29, nyz, 129, 88
30, lap1, 131.5, 119
31, guc, 132.3, 89
32, ura, 133.6, 143
33, mao, 133.9, 138
34, quy, 134.2, 112
35, rua1, 134.6, 136
36, toi, 134.8, 97
37, ztu1, 134.9, 105
38, cbu, 135.4, 276
39, huu, 135.9, 208
40, cni, 136.7, 228
41, rud1, 137.1, 124
42, ltn, 137.5, 88
43, yao, 137.9, 146
44, kph, 138.8, 103
45, qan, 139.1, 172
46, mic, 139.2, 94
47, cab, 139.2, 95
48, kbp, 139.3, 105
49, ltn1, 139.4, 96
50, sua, 139.5, 97
51, trk, 139.6, 95
52, mxv, 139.9, 99
53, qju, 140.8, 162
54, bsq, 140.9, 124
55, mnf, 141.2, 100
56, 1114, 141.2, 102
57, est, 142.2, 124
58, bem, 142.4, 92
59, lpi, 142.5, 119
60, fin, 142.7, 165
61, 1112, 143.4, 88
62, qei, 143.5, 164
63, ose, 144.8, 107
64, lit, 145.2, 97
65, lat, 146.3, 121
66, arm, 146.6, 38
67, zam, 147.2, 96
68, gax, 147.5, 104
69, gag, 147.6, 94
70, shd, 147.8, 130
71, amr, 149, 259
72, src5, 149.5, 129
73, ccx, 150.3, 98
74, mni, 150.8, 100
75, nyj1, 150.8, 94
76, lia, 151, 130
77, arz, 151.4, 102
78, wee, 152.2, 93
79, czc, 153.2, 93
80, pbb, 153.7, 132
81, pro, 153.7, 140
82, slo, 153.7, 122
83, qec1, 153.8, 101
84, dinka, 153.9, 20
85, mls, 154.6, 123
86, src3, 155.3, 123
87, amc, 156.3, 169
88, hng, 157.2, 125
89, slv, 157.2, 124
90, rmy1, 157.3, 91
91, uzb, 158.1, 95
92, 1116, 158.2, 94
93, gkp1, 158.3, 103
94, mam, 158.8, 92
95, kkn, 159.1, 97
96, cot, 159.5, 201
97, sud, 159.8, 129
98, src4, 159.9, 125
99, den, 160, 102
100, maz, 160.6, 96
101, 1120, 160.7, 89
102, src1, 161.1, 123
103, 1118, 161.6, 99
104, top, 161.7, 97
105, fae, 161.7, 130
106, nyj, 161.8, 93
107, ses, 162.8, 96
108, mli, 162.9, 127
109, boa, 163, 248
110, snn, 163.5, 145
111, 1115, 164.3, 93
112, abk, 165.4, 98
113, fum, 165.4, 102
114, fum1, 165.4, 102
115, ice, 165.5, 168
116, rus, 166.1, 94
117, qed, 167, 161
118, pql, 167.1, 96
119, inz, 167.2, 93
120, ger, 167.8, 94
121, miq, 169.3, 84
122, bra, 169.6, 91
123, mpu, 170.3, 101
124, kdb1, 170.6, 91
125, mhj, 170.7, 107
126, mex, 171.7, 113
127, afk, 172.1, 92
128, wls, 173.2, 93
129, nrn, 173.6, 128
130, chj, 173.7, 119
131, acu, 174.9, 227
132, ruw, 175.5, 125
133, rmn1, 176.3, 100
134, 1128, 176.3, 101
135, ukr, 176.7, 130
136, pet, 177.4, 124
137, aru, 177.4, 142
138, nrr, 177.5, 139
139, qeg, 177.6, 160
140, bzc, 177.8, 107
141, eng, 177.8, 93
142, mkj, 179.2, 95
143, swz1, 181.3, 94
144, swa, 181.4, 130
145, kng, 181.8, 97
146, pis, 181.8, 112
147, gln, 182.1, 120
148, dns, 182.7, 135
149, swd, 182.9, 106
150, blg, 183.2, 95
151, bpr, 183.6, 118
152, auv1, 184.4, 98
153, crs, 184.7, 94
154, lin, 184.8, 94
155, ttm, 184.9, 93
156, koo1, 185, 153
157, rum, 185.3, 93
158, tzm, 185.3, 93
159, wry, 187, 75
160, hni, 187.8, 90
161, por, 187.8, 92
162, lub, 188, 129
163, 1111, 188.1, 90
164, cln, 188.2, 92
165, agr, 188.4, 161
166, sco, 189.4, 96
167, hva, 189.7, 158
168, som, 190.3, 103
169, brt, 191, 93
170, pdg, 191.2, 115
171, ilo, 191.5, 102
172, tbz, 191.6, 97
173, ppl, 191.8, 97
174, tws1, 192.2, 111
175, moz, 192.5, 92
176, suo, 192.8, 110
177, ceb, 193, 102
178, aub, 193.5, 90
179, lux, 194.2, 94
180, mfy, 194.4, 126
181, lbm1, 194.9, 87
182, csa, 195, 132
183, itn, 195.7, 96
184, spn, 195.9, 90
185, dum, 196.9, 108
186, gli1, 197, 117
187, yps, 197.1, 122
188, bba, 197.1, 108
189, 1119, 197.1, 98
190, prv1, 197.4, 92
191, cjd, 197.4, 128
192, frn, 197.4, 90
193, tws3, 197.6, 103
194, wol, 199.3, 143
195, qej, 199.5, 139
196, dut, 199.5, 94
197, rhe, 200.1, 123
198, aln, 200.6, 126
199, frn1, 200.9, 100
200, hil, 201.8, 99
201, frl, 201.8, 62
202, bkl, 202, 93
203, coi, 202.5, 93
204, fri, 202.6, 95
205, arl, 203.7, 281
206, hat, 204, 94
207, eml, 204.7, 92
208, atj, 204.9, 92
209, kon, 205.1, 113
210, frn2, 205.8, 133
211, tgl, 206.2, 106
212, tzc1, 206.2, 194
213, gac2, 207.1, 96
214, jan, 208.1, 108
215, pnf, 208.6, 120
216, tid, 208.8, 97
217, mlo, 209.7, 93
218, aja, 209.9, 99
219, nba, 210.1, 99
220, igr, 211.3, 100
221, tru1, 211.9, 133
222, tzc, 211.9, 155
223, fji, 212.7, 95
224, ass, 213, 144
225, srd, 213.4, 94
226, yua, 214.5, 89
227, tej, 215, 148
228, gls, 216.7, 125
229, plu, 217.3, 123
230, grk, 217.9, 106
231, pmp, 218.3, 113
232, sso, 218.6, 111
233, kas, 220.3, 118
234, dag, 220.6, 131
235, nze, 220.8, 103
236, hms, 221.8, 108
237, tsw, 222.3, 100
238, 1117, 223.3, 100
239, toj, 225.4, 127
240, ewe, 226.2, 128
241, cbr, 226.6, 200
242, saj, 228.9, 107
243, kri, 229.5, 102
244, nso, 233, 98
245, hna, 234.4, 95
246, bcy, 237.2, 94
247, srt, 237.6, 110
248, cpu, 241.4, 218
249, nhn, 242.3, 146
250, kea, 247.4, 72
251, mhm, 247.5, 135
252, mcf, 248.2, 316
253, hwi, 249.3, 97
254, mzm, 250.7, 122
255, tsh, 251.4, 94
256, chn, 254.3, 32
257, tso, 254.6, 98
258, foa, 255.4, 111
259, ame, 256.9, 222
260, cak1, 257.7, 91
261, shp, 257.8, 221
