0 1111 90
1 1112 88
2 1114 102
3 1115 93
4 1116 94
5 1117 100
6 1118 99
7 1119 98
8 1120 89
9 1128 101
10 abk 98
11 acu 227
12 afk 92
13 agr 161
14 aja 99
15 ako 37
16 aln 126
17 amc 169
18 ame 222
19 amr 259
20 arl 281
21 arm 38
22 aru 142
23 arz 102
24 ass 144
25 atj 92
26 aub 90
27 auv1 98
28 aym 127
29 bba 108
30 bci 99
31 bcy 94
32 bem 92
33 bkl 93
34 blg 95
35 blu 90
36 boa 248
37 bpr 118
38 bra 91
39 brt 93
40 bsq 124
41 btb 108
42 bzc 107
43 cab 95
44 cak1 91
45 cbr 200
46 cbs 98
47 cbt 249
48 cbu 276
49 ccx 98
50 ceb 102
51 chj 119
52 chn 32
53 cic 108
54 cjd 128
55 cjk 93
56 cln 92
57 cni 228
58 coi 93
59 cot 201
60 cpp 98
61 cpu 218
62 crs 94
63 csa 132
64 czc 93
65 dag 131
66 den 102
67 dga 122
68 dinka 20
69 dns 135
70 dum 108
71 dut 94
72 dyo 103
73 edo 108
74 eml 92
75 eng 93
76 esg 124
77 est 124
78 ewe 128
79 fae 130
80 fal 70
81 fin 165
82 fji 95
83 foa 111
84 fri 95
85 frl 62
86 frn 90
87 frn1 100
88 frn2 133
89 fum 102
90 fum1 102
91 gac1 114
92 gac2 96
93 gag 94
94 gax 104
95 gej 98
96 ger 94
97 gkp1 103
98 gli1 117
99 gln 120
100 gls 125
101 grk 106
102 gua 95
103 guc 89
104 gun 132
105 hak 77
106 hat 94
107 hat1 135
108 hea 100
109 hil 99
110 hms 108
111 hna 95
112 hng 125
113 hni 90
114 huu 208
115 hva 158
116 hwi 97
117 ibb 108
118 ice 168
119 igr 100
120 ilo 102
121 inz 93
122 itn 96
123 jan 108
124 jpn 34
125 kas 118
126 kbp 105
127 kdb1 91
128 kde 111
129 kea 72
130 kkn 97
131 kng 97
132 kon 113
133 koo1 153
134 kph 103
135 kqn 92
136 kri 102
137 lap1 119
138 lat 121
139 lbm1 87
140 lia 130
141 lin 94
142 lit 97
143 lpi 119
144 ltn 88
145 ltn1 96
146 lub 129
147 lue 99
148 lux 94
149 mam 92
150 mao 138
151 maz 96
152 mbf 101
153 mcd 216
154 mcf 316
155 mex 113
156 mfy 126
157 mhj 107
158 mhm 135
159 mic 94
160 miq 84
161 mkj 95
162 mli 127
163 mlo 93
164 mlo1 99
165 mls 123
166 mnf 100
167 mni 100
168 moz 92
169 mpu 101
170 mxv 99
171 mzm 122
172 nba 99
173 nel 100
174 nhn 146
175 not 177
176 nrn 128
177 nrr 139
178 nso 98
179 nyj 93
180 nyj1 94
181 nyn1 123
182 nyz 88
183 nze 103
184 ose 107
185 pbb 132
186 pcm 134
187 pdg 115
188 pet 124
189 pis 112
190 plu 123
191 pmp 113
192 pnf 120
193 por 92
194 ppl 97
195 pql 96
196 pro 140
197 prv1 92
198 qan 172
199 qar 133
200 qec1 101
201 qed 161
202 qeg 160
203 qei 164
204 qej 139
205 qju 162
206 qnt 190
207 qud1 103
208 quy 112
209 quz 116
210 rhe 123
211 rmn1 100
212 rmy1 91
213 rrt 93
214 rua1 136
215 rud1 124
216 rum 93
217 rus 94
218 ruw 125
219 saj 107
220 sco 96
221 ses 96
222 shd 130
223 shp 221
224 slo 122
225 slv 124
226 smy 87
227 snn 145
228 som 103
229 spn 90
230 src1 123
231 src3 123
232 src4 125
233 src5 129
234 srd 94
235 srt 110
236 sso 111
237 sua 97
238 sud 129
239 suo 110
240 swa 130
241 swd 106
242 swz1 94
243 tbz 97
244 tej 148
245 tgl 106
246 tht 100
247 tid 97
248 tiv 109
249 tob 96
250 toi 97
251 toj 127
252 top 97
253 trk 95
254 tru1 133
255 tsh 94
256 tso 98
257 tsw 100
258 ttm 93
259 tws1 111
260 tws3 103
261 tzc 155
262 tzc1 194
263 tzm 93
264 ukr 130
265 ura 143
266 uzb 95
267 vmw 98
268 wee 93
269 wls 93
270 wol 143
271 wry 75
272 xos 99
273 yad 157
274 yao 146
275 yor 131
276 yps 122
277 yua 89
278 zam 96
279 ztu1 105
280 zuu 95
