0 1111 1881
1 1112 1434
2 1114 1412
3 1115 1643
4 1116 1582
5 1117 2233
6 1118 1616
7 1119 1971
8 1120 1607
9 1128 1763
10 abk 1654
11 acu 1749
12 afk 1721
13 agr 1884
14 aja 2099
15 ako 1019
16 aln 2006
17 amc 1563
18 ame 2569
19 amr 1490
20 arl 2037
21 arm 1466
22 aru 1774
23 arz 1514
24 ass 2130
25 atj 2049
26 aub 1935
27 auv1 1844
28 aym 987
29 bba 1971
30 bci 2952
31 bcy 2372
32 bem 1424
33 bkl 2020
34 blg 1832
35 blu 2833
36 boa 1630
37 bpr 1836
38 bra 1696
39 brt 1910
40 bsq 1409
41 btb 1223
42 bzc 1778
43 cab 1392
44 cak1 2577
45 cbr 2266
46 cbs 672
47 cbt 1190
48 cbu 1354
49 ccx 1503
50 ceb 1930
51 chj 1737
52 chn 2543
53 cic 586
54 cjd 1974
55 cjk 1284
56 cln 1882
57 cni 1367
58 coi 2025
59 cot 1595
60 cpp 672
61 cpu 2414
62 crs 1847
63 csa 1950
64 czc 1532
65 dag 2206
66 den 1600
67 dga 2614
68 dinka 1539
69 dns 1827
70 dum 1969
71 dut 1995
72 dyo 1189
73 edo 2818
74 eml 2047
75 eng 1778
76 esg 1095
77 est 1422
78 ewe 2262
79 fae 1617
80 fal 2878
81 fin 1427
82 fji 2127
83 foa 2554
84 fri 2026
85 frl 2018
86 frn 1974
87 frn1 2009
88 frn2 2058
89 fum 1654
90 fum1 1654
91 gac1 2944
92 gac2 2071
93 gag 1476
94 gax 1475
95 gej 2706
96 ger 1678
97 gkp1 1583
98 gli1 1970
99 gln 1821
100 gls 2167
101 grk 2179
102 gua 1221
103 guc 1323
104 gun 1214
105 hak 2875
106 hat 2040
107 hat1 2618
108 hea 2756
109 hil 2018
110 hms 2218
111 hna 2344
112 hng 1572
113 hni 1878
114 huu 1359
115 hva 1897
116 hwi 2493
117 ibb 2641
118 ice 1655
119 igr 2113
120 ilo 1915
121 inz 1672
122 itn 1957
123 jan 2081
124 jpn 282
125 kas 2203
126 kbp 1393
127 kdb1 1706
128 kde 1072
129 kea 2474
130 kkn 1591
131 kng 1818
132 kon 2051
133 koo1 1850
134 kph 1388
135 kqn 1065
136 kri 2295
137 lap1 1315
138 lat 1463
139 lbm1 1949
140 lia 1510
141 lin 1848
142 lit 1452
143 lpi 1425
144 ltn 1375
145 ltn1 1394
146 lub 1880
147 lue 1248
148 lux 1942
149 mam 1588
150 mao 1339
151 maz 1606
152 mbf 3237
153 mcd 968
154 mcf 2482
155 mex 1717
156 mfy 1944
157 mhj 1707
158 mhm 2475
159 mic 1392
160 miq 1693
161 mkj 1792
162 mli 1629
163 mlo 2097
164 mlo1 1053
165 mls 1546
166 mnf 1412
167 mni 1508
168 moz 1925
169 mpu 1703
170 mxv 1399
171 mzm 2507
172 nba 2101
173 nel 1024
174 nhn 2423
175 not 1161
176 nrn 1736
177 nrr 1775
178 nso 2330
179 nyj 1618
180 nyj1 1508
181 nyn1 1078
182 nyz 1290
183 nze 2208
184 ose 1448
185 pbb 1537
186 pcm 3386
187 pdg 1912
188 pet 1774
189 pis 1818
190 plu 2173
191 pmp 2183
192 pnf 2086
193 por 1878
194 ppl 1918
195 pql 1671
196 pro 1537
197 prv1 1974
198 qan 1391
199 qar 1191
200 qec1 1538
201 qed 1670
202 qeg 1776
203 qei 1435
204 qej 1995
205 qju 1408
206 qnt 1209
207 qud1 995
208 quy 1342
209 quz 1180
210 rhe 2001
211 rmn1 1763
212 rmy1 1573
213 rrt 2957
214 rua1 1346
215 rud1 1371
216 rum 1853
217 rus 1661
218 ruw 1755
219 saj 2289
220 sco 1894
221 ses 1628
222 shd 1478
223 shp 2578
224 slo 1537
225 slv 1572
226 smy 2889
227 snn 1635
228 som 1903
229 spn 1959
230 src1 1611
231 src3 1553
232 src4 1599
233 src5 1495
234 srd 2134
235 srt 2376
236 sso 2186
237 sua 1395
238 sud 1598
239 suo 1928
240 swa 1814
241 swd 1829
242 swz1 1813
243 tbz 1916
244 tej 2150
245 tgl 2062
246 tht 2739
247 tid 2088
248 tiv 2884
249 tob 2621
250 toi 1348
251 toj 2254
252 top 1617
253 trk 1396
254 tru1 2119
255 tsh 2514
256 tso 2546
257 tsw 2223
258 ttm 1849
259 tws1 1922
260 tws3 1976
261 tzc 2119
262 tzc1 2062
263 tzm 1853
264 ukr 1767
265 ura 1336
266 uzb 1581
267 vmw 1222
268 wee 1522
269 wls 1732
270 wol 1993
271 wry 1870
272 xos 1177
273 yad 1215
274 yao 1379
275 yor 2922
276 yps 1971
277 yua 2145
278 zam 1472
279 ztu1 1349
280 zuu 1107
