0, 1111, 188.1, 90
1, 1112, 143.4, 88
2, 1114, 141.2, 102
3, 1115, 164.3, 93
4, 1116, 158.2, 94
5, 1117, 223.3, 100
6, 1118, 161.6, 99
7, 1119, 197.1, 98
8, 1120, 160.7, 89
9, 1128, 176.3, 101
10, abk, 165.4, 98
11, acu, 174.9, 227
12, afk, 172.1, 92
13, agr, 188.4, 161
14, aja, 209.9, 99
15, ako, 101.9, 37
16, aln, 200.6, 126
17, amc, 156.3, 169
18, ame, 256.9, 222
19, amr, 149, 259
20, arl, 203.7, 281
21, arm, 146.6, 38
22, aru, 177.4, 142
23, arz, 151.4, 102
24, ass, 213, 144
25, atj, 204.9, 92
26, aub, 193.5, 90
27, auv1, 184.4, 98
28, aym, 98.7, 127
29, bba, 197.1, 108
30, bci, 295.2, 99
31, bcy, 237.2, 94
32, bem, 142.4, 92
33, bkl, 202, 93
34, blg, 183.2, 95
35, blu, 283.3, 90
36, boa, 163, 248
37, bpr, 183.6, 118
38, bra, 169.6, 91
39, brt, 191, 93
40, bsq, 140.9, 124
41, btb, 122.3, 108
42, bzc, 177.8, 107
43, cab, 139.2, 95
44, cak1, 257.7, 91
45, cbr, 226.6, 200
46, cbs, 67.2, 98
47, cbt, 119, 249
48, cbu, 135.4, 276
49, ccx, 150.3, 98
50, ceb, 193, 102
51, chj, 173.7, 119
52, chn, 254.3, 32
53, cic, 58.6, 108
54, cjd, 197.4, 128
55, cjk, 128.4, 93
56, cln, 188.2, 92
57, cni, 136.7, 228
58, coi, 202.5, 93
59, cot, 159.5, 201
60, cpp, 67.2, 98
61, cpu, 241.4, 218
62, crs, 184.7, 94
63, csa, 195, 132
64, czc, 153.2, 93
65, dag, 220.6, 131
66, den, 160, 102
67, dga, 261.4, 122
68, dinka, 153.9, 20
69, dns, 182.7, 135
70, dum, 196.9, 108
71, dut, 199.5, 94
72, dyo, 118.9, 103
73, edo, 281.8, 108
74, eml, 204.7, 92
75, eng, 177.8, 93
76, esg, 109.5, 124
77, est, 142.2, 124
78, ewe, 226.2, 128
79, fae, 161.7, 130
80, fal, 287.8, 70
81, fin, 142.7, 165
82, fji, 212.7, 95
83, foa, 255.4, 111
84, fri, 202.6, 95
85, frl, 201.8, 62
86, frn, 197.4, 90
87, frn1, 200.9, 100
88, frn2, 205.8, 133
89, fum, 165.4, 102
90, fum1, 165.4, 102
91, gac1, 294.4, 114
92, gac2, 207.1, 96
93, gag, 147.6, 94
94, gax, 147.5, 104
95, gej, 270.6, 98
96, ger, 167.8, 94
97, gkp1, 158.3, 103
98, gli1, 197, 117
99, gln, 182.1, 120
100, gls, 216.7, 125
101, grk, 217.9, 106
102, gua, 122.1, 95
103, guc, 132.3, 89
104, gun, 121.4, 132
105, hak, 287.5, 77
106, hat, 204, 94
107, hat1, 261.8, 135
108, hea, 275.6, 100
109, hil, 201.8, 99
110, hms, 221.8, 108
111, hna, 234.4, 95
112, hng, 157.2, 125
113, hni, 187.8, 90
114, huu, 135.9, 208
115, hva, 189.7, 158
116, hwi, 249.3, 97
117, ibb, 264.1, 108
118, ice, 165.5, 168
119, igr, 211.3, 100
120, ilo, 191.5, 102
121, inz, 167.2, 93
122, itn, 195.7, 96
123, jan, 208.1, 108
124, jpn, 28.2, 34
125, kas, 220.3, 118
126, kbp, 139.3, 105
127, kdb1, 170.6, 91
128, kde, 107.2, 111
129, kea, 247.4, 72
130, kkn, 159.1, 97
131, kng, 181.8, 97
132, kon, 205.1, 113
133, koo1, 185, 153
134, kph, 138.8, 103
135, kqn, 106.5, 92
136, kri, 229.5, 102
137, lap1, 131.5, 119
138, lat, 146.3, 121
139, lbm1, 194.9, 87
140, lia, 151, 130
141, lin, 184.8, 94
142, lit, 145.2, 97
143, lpi, 142.5, 119
144, ltn, 137.5, 88
145, ltn1, 139.4, 96
146, lub, 188, 129
147, lue, 124.8, 99
148, lux, 194.2, 94
149, mam, 158.8, 92
150, mao, 133.9, 138
151, maz, 160.6, 96
152, mbf, 323.7, 101
153, mcd, 96.8, 216
154, mcf, 248.2, 316
155, mex, 171.7, 113
156, mfy, 194.4, 126
157, mhj, 170.7, 107
158, mhm, 247.5, 135
159, mic, 139.2, 94
160, miq, 169.3, 84
161, mkj, 179.2, 95
162, mli, 162.9, 127
163, mlo, 209.7, 93
164, mlo1, 105.3, 99
165, mls, 154.6, 123
166, mnf, 141.2, 100
167, mni, 150.8, 100
168, moz, 192.5, 92
169, mpu, 170.3, 101
170, mxv, 139.9, 99
171, mzm, 250.7, 122
172, nba, 210.1, 99
173, nel, 102.4, 100
174, nhn, 242.3, 146
175, not, 116.1, 177
176, nrn, 173.6, 128
177, nrr, 177.5, 139
178, nso, 233, 98
179, nyj, 161.8, 93
180, nyj1, 150.8, 94
181, nyn1, 107.8, 123
182, nyz, 129, 88
183, nze, 220.8, 103
184, ose, 144.8, 107
185, pbb, 153.7, 132
186, pcm, 338.6, 134
187, pdg, 191.2, 115
188, pet, 177.4, 124
189, pis, 181.8, 112
190, plu, 217.3, 123
191, pmp, 218.3, 113
192, pnf, 208.6, 120
193, por, 187.8, 92
194, ppl, 191.8, 97
195, pql, 167.1, 96
196, pro, 153.7, 140
197, prv1, 197.4, 92
198, qan, 139.1, 172
199, qar, 119.1, 133
200, qec1, 153.8, 101
201, qed, 167, 161
