0 1111 1881 90
1 1112 1434 88
2 1114 1412 102
3 1115 1643 93
4 1116 1582 94
5 1117 2233 100
6 1118 1616 99
7 1119 1971 98
8 1120 1607 89
9 1128 1763 101
10 abk 1654 98
11 acu 1749 227
12 afk 1721 92
13 agr 1884 161
14 aja 2099 99
15 ako 1019 37
16 aln 2006 126
17 amc 1563 169
18 ame 2569 222
19 amr 1490 259
20 arl 2037 281
21 arm 1466 38
22 aru 1774 142
23 arz 1514 102
24 ass 2130 144
25 atj 2049 92
26 aub 1935 90
27 auv1 1844 98
28 aym 987 127
29 bba 1971 108
30 bci 2952 99
31 bcy 2372 94
32 bem 1424 92
33 bkl 2020 93
34 blg 1832 95
35 blu 2833 90
36 boa 1630 248
37 bpr 1836 118
38 bra 1696 91
39 brt 1910 93
40 bsq 1409 124
41 btb 1223 108
42 bzc 1778 107
43 cab 1392 95
44 cak1 2577 91
45 cbr 2266 200
46 cbs 672 98
47 cbt 1190 249
48 cbu 1354 276
49 ccx 1503 98
50 ceb 1930 102
51 chj 1737 119
52 chn 2543 32
53 cic 586 108
54 cjd 1974 128
55 cjk 1284 93
56 cln 1882 92
57 cni 1367 228
58 coi 2025 93
59 cot 1595 201
60 cpp 672 98
61 cpu 2414 218
62 crs 1847 94
63 csa 1950 132
64 czc 1532 93
65 dag 2206 131
66 den 1600 102
67 dga 2614 122
68 dinka 1539 20
69 dns 1827 135
70 dum 1969 108
71 dut 1995 94
72 dyo 1189 103
73 edo 2818 108
74 eml 2047 92
75 eng 1778 93
76 esg 1095 124
77 est 1422 124
78 ewe 2262 128
79 fae 1617 130
80 fal 2878 70
81 fin 1427 165
82 fji 2127 95
83 foa 2554 111
84 fri 2026 95
85 frl 2018 62
86 frn 1974 90
87 frn1 2009 100
88 frn2 2058 133
89 fum 1654 102
90 fum1 1654 102
91 gac1 2944 114
92 gac2 2071 96
93 gag 1476 94
94 gax 1475 104
95 gej 2706 98
96 ger 1678 94
97 gkp1 1583 103
98 gli1 1970 117
99 gln 1821 120
100 gls 2167 125
101 grk 2179 106
102 gua 1221 95
103 guc 1323 89
104 gun 1214 132
105 hak 2875 77
106 hat 2040 94
107 hat1 2618 135
108 hea 2756 100
109 hil 2018 99
110 hms 2218 108
111 hna 2344 95
112 hng 1572 125
113 hni 1878 90
114 huu 1359 208
115 hva 1897 158
116 hwi 2493 97
117 ibb 2641 108
118 ice 1655 168
119 igr 2113 100
120 ilo 1915 102
121 inz 1672 93
122 itn 1957 96
123 jan 2081 108
124 jpn 282 34
125 kas 2203 118
126 kbp 1393 105
127 kdb1 1706 91
128 kde 1072 111
129 kea 2474 72
130 kkn 1591 97
131 kng 1818 97
132 kon 2051 113
133 koo1 1850 153
134 kph 1388 103
135 kqn 1065 92
136 kri 2295 102
137 lap1 1315 119
138 lat 1463 121
139 lbm1 1949 87
140 lia 1510 130
141 lin 1848 94
142 lit 1452 97
143 lpi 1425 119
144 ltn 1375 88
145 ltn1 1394 96
146 lub 1880 129
147 lue 1248 99
148 lux 1942 94
149 mam 1588 92
150 mao 1339 138
151 maz 1606 96
152 mbf 3237 101
153 mcd 968 216
154 mcf 2482 316
155 mex 1717 113
156 mfy 1944 126
157 mhj 1707 107
158 mhm 2475 135
159 mic 1392 94
160 miq 1693 84
161 mkj 1792 95
162 mli 1629 127
163 mlo 2097 93
164 mlo1 1053 99
165 mls 1546 123
166 mnf 1412 100
167 mni 1508 100
168 moz 1925 92
169 mpu 1703 101
170 mxv 1399 99
171 mzm 2507 122
172 nba 2101 99
173 nel 1024 100
174 nhn 2423 146
175 not 1161 177
176 nrn 1736 128
177 nrr 1775 139
178 nso 2330 98
179 nyj 1618 93
180 nyj1 1508 94
181 nyn1 1078 123
182 nyz 1290 88
183 nze 2208 103
184 ose 1448 107
185 pbb 1537 132
186 pcm 3386 134
187 pdg 1912 115
188 pet 1774 124
189 pis 1818 112
190 plu 2173 123
191 pmp 2183 113
192 pnf 2086 120
193 por 1878 92
194 ppl 1918 97
195 pql 1671 96
196 pro 1537 140
197 prv1 1974 92
198 qan 1391 172
199 qar 1191 133
200 qec1 1538 101
201 qed 1670 161
202 qeg 1776 160
203 qei 1435 164
204 qej 1995 139
205 qju 1408 162
206 qnt 1209 190
207 qud1 995 103
208 quy 1342 112
209 quz 1180 116
210 rhe 2001 123
211 rmn1 1763 100
212 rmy1 1573 91
213 rrt 2957 93
214 rua1 1346 136
215 rud1 1371 124
216 rum 1853 93
217 rus 1661 94
218 ruw 1755 125
219 saj 2289 107
220 sco 1894 96
221 ses 1628 96
222 shd 1478 130
223 shp 2578 221
224 slo 1537 122
225 slv 1572 124
226 smy 2889 87
227 snn 1635 145
228 som 1903 103
229 spn 1959 90
230 src1 1611 123
231 src3 1553 123
232 src4 1599 125
233 src5 1495 129
234 srd 2134 94
235 srt 2376 110
236 sso 2186 111
237 sua 1395 97
238 sud 1598 129
239 suo 1928 110
240 swa 1814 130
241 swd 1829 106
242 swz1 1813 94
243 tbz 1916 97
244 tej 2150 148
245 tgl 2062 106
246 tht 2739 100
247 tid 2088 97
248 tiv 2884 109
249 tob 2621 96
250 toi 1348 97
251 toj 2254 127
252 top 1617 97
253 trk 1396 95
254 tru1 2119 133
255 tsh 2514 94
256 tso 2546 98
257 tsw 2223 100
258 ttm 1849 93
