0, 1111, 1881, 90, 20.9
1, 1112, 1434, 88, 16.2955
2, 1114, 1412, 102, 13.8431
3, 1115, 1643, 93, 17.6667
4, 1116, 1582, 94, 16.8298
5, 1117, 2233, 100, 22.33
6, 1118, 1616, 99, 16.3232
7, 1119, 1971, 98, 20.1122
8, 1120, 1607, 89, 18.0562
9, 1128, 1763, 101, 17.4554
10, abk, 1654, 98, 16.8776
11, acu, 1749, 227, 7.70485
12, afk, 1721, 92, 18.7065
13, agr, 1884, 161, 11.7019
14, aja, 2099, 99, 21.202
15, ako, 1019, 37, 27.5405
16, aln, 2006, 126, 15.9206
17, amc, 1563, 169, 9.24852
18, ame, 2569, 222, 11.5721
19, amr, 1490, 259, 5.7529
20, arl, 2037, 281, 7.24911
21, arm, 1466, 38, 38.5789
22, aru, 1774, 142, 12.493
23, arz, 1514, 102, 14.8431
24, ass, 2130, 144, 14.7917
25, atj, 2049, 92, 22.2717
26, aub, 1935, 90, 21.5
27, auv1, 1844, 98, 18.8163
28, aym, 987, 127, 7.77165
29, bba, 1971, 108, 18.25
30, bci, 2952, 99, 29.8182
31, bcy, 2372, 94, 25.234
32, bem, 1424, 92, 15.4783
33, bkl, 2020, 93, 21.7204
34, blg, 1832, 95, 19.2842
35, blu, 2833, 90, 31.4778
36, boa, 1630, 248, 6.57258
37, bpr, 1836, 118, 15.5593
38, bra, 1696, 91, 18.6374
39, brt, 1910, 93, 20.5376
40, bsq, 1409, 124, 11.3629
41, btb, 1223, 108, 11.3241
42, bzc, 1778, 107, 16.6168
43, cab, 1392, 95, 14.6526
44, cak1, 2577, 91, 28.3187
45, cbr, 2266, 200, 11.33
46, cbs, 672, 98, 6.85714
47, cbt, 1190, 249, 4.77912
48, cbu, 1354, 276, 4.9058
49, ccx, 1503, 98, 15.3367
50, ceb, 1930, 102, 18.9216
51, chj, 1737, 119, 14.5966
52, chn, 2543, 32, 79.4688
53, cic, 586, 108, 5.42593
54, cjd, 1974, 128, 15.4219
55, cjk, 1284, 93, 13.8065
56, cln, 1882, 92, 20.4565
57, cni, 1367, 228, 5.99561
58, coi, 2025, 93, 21.7742
59, cot, 1595, 201, 7.93532
60, cpp, 672, 98, 6.85714
61, cpu, 2414, 218, 11.0734
62, crs, 1847, 94, 19.6489
63, csa, 1950, 132, 14.7727
64, czc, 1532, 93, 16.4731
65, dag, 2206, 131, 16.8397
66, den, 1600, 102, 15.6863
67, dga, 2614, 122, 21.4262
68, dinka, 1539, 20, 76.95
69, dns, 1827, 135, 13.5333
70, dum, 1969, 108, 18.2315
71, dut, 1995, 94, 21.2234
72, dyo, 1189, 103, 11.5437
73, edo, 2818, 108, 26.0926
74, eml, 2047, 92, 22.25
75, eng, 1778, 93, 19.1183
76, esg, 1095, 124, 8.83065
77, est, 1422, 124, 11.4677
78, ewe, 2262, 128, 17.6719
79, fae, 1617, 130, 12.4385
80, fal, 2878, 70, 41.1143
81, fin, 1427, 165, 8.64848
82, fji, 2127, 95, 22.3895
83, foa, 2554, 111, 23.009
84, fri, 2026, 95, 21.3263
85, frl, 2018, 62, 32.5484
86, frn, 1974, 90, 21.9333
87, frn1, 2009, 100, 20.09
88, frn2, 2058, 133, 15.4737
89, fum, 1654, 102, 16.2157
90, fum1, 1654, 102, 16.2157
91, gac1, 2944, 114, 25.8246
92, gac2, 2071, 96, 21.5729
93, gag, 1476, 94, 15.7021
94, gax, 1475, 104, 14.1827
95, gej, 2706, 98, 27.6122
96, ger, 1678, 94, 17.8511
